Tiempo, Potencia , Id,sum1,sum0
1,0.798356242029191,0,1,0.798356242029191
2,0.792546407822021,0,1,0.792546407822021
3,0.778517783760805,0,1,0.778517783760805
4,0.746776250531387,0,1,0.746776250531387
5,0.808842284256766,1,0,0
6,0.783335695054556,0,1,0.783335695054556
7,0.779793113220915,0,1,0.779793113220915
8,0.788720419441689,0,1,0.788720419441689
9,0.838599971659345,1,0,0
10,0.823154314864673,1,0,0
11,0.808133767890038,1,0,0
12,0.805016295876435,1,0,0
13,0.80161541731614,0,1,0.80161541731614
14,0.779793113220915,0,1,0.779793113220915
15,0.800056681309338,0,1,0.800056681309338
16,0.82131217231118,1,0,0
17,0.782202068867791,0,1,0.782202068867791
18,0.774408388833782,0,1,0.774408388833782
19,0.825563270511549,1,0,0
20,0.822020688677908,1,0,0
21,0.797364319115772,0,1,0.797364319115772
22,0.820603655944452,1,0,0
23,0.808983987530112,1,0,0
24,0.774691795380473,0,1,0.774691795380473
25,0.786594870341505,0,1,0.786594870341505
26,0.828397335978461,1,0,0
27,0.821453875584526,1,0,0
28,0.819753436304379,1,0,0
29,0.786878276888196,0,1,0.786878276888196
30,0.970525719144112,1,0,0
31,0.795522176562279,0,1,0.795522176562279
32,0.786028057248122,0,1,0.786028057248122
33,0.69661329176704,0,1,0.69661329176704
34,0.696471588493694,0,1,0.696471588493694
35,0.675499504038543,0,1,0.675499504038543
36,0.703981861981012,0,1,0.703981861981012
37,0.680034008785603,0,1,0.680034008785603
38,0.721836474422559,0,1,0.721836474422559
39,0.708941476548108,0,1,0.708941476548108
40,0.720277738415757,0,1,0.720277738415757
41,0.668839450191299,0,1,0.668839450191299
42,0.729630154456568,0,1,0.729630154456568
43,0.7173019696755,0,1,0.7173019696755
44,0.736431911577157,0,1,0.736431911577157
45,0.707382740541306,0,1,0.707382740541306
46,0.73926597704407,0,1,0.73926597704407
47,0.751452458551793,0,1,0.751452458551793
48,0.728638231543149,0,1,0.728638231543149
49,0.732180813376789,0,1,0.732180813376789
50,0.65523593595012,0,1,0.65523593595012
51,0.707382740541306,0,1,0.707382740541306
52,0.734873175570356,0,1,0.734873175570356
53,0.757120589485617,0,1,0.757120589485617
54,0.729346747909877,0,1,0.729346747909877
55,0.750177129091682,0,1,0.750177129091682
56,0.750460535638373,0,1,0.750460535638373
57,0.801048604222757,0,1,0.801048604222757
58,0.838599971659345,1,0,0
59,0.82712200651835,1,0,0
60,0.827688819611733,1,0,0
61,0.856879693920929,1,0,0
62,0.869349581975344,1,0,0
63,0.821170469037835,1,0,0
64,0.830522885078645,1,0,0
65,0.788011903074961,0,1,0.788011903074961
66,0.809975910443531,1,0,0
67,0.803315856596287,0,1,0.803315856596287
68,0.814935525010628,1,0,0
69,0.862831231401445,1,0,0
70,0.8546124415474,1,0,0
71,0.832648434178829,1,0,0
72,0.78900382598838,0,1,0.78900382598838
73,0.795097066742242,0,1,0.795097066742242
74,0.835907609465779,1,0,0
75,0.793821737282131,0,1,0.793821737282131
76,0.829672665438572,1,0,0
77,0.86169760521468,1,0,0
78,0.887204194416891,1,0,0
79,0.899815785744651,1,0,0
80,0.880260734022956,1,0,0
81,0.964432478390251,1,0,0
82,1,1,0,0
83,0.958480940909735,1,0,0
84,0.911577157432337,1,0,0
85,0.934249681167635,1,0,0
86,0.899248972651268,1,0,0
87,0.924472155306788,1,0,0
88,0.897548533371121,1,0,0
89,0.899107269377923,1,0,0
90,0.845685135326626,1,0,0
91,0.899957489017996,1,0,0
92,0.885787161683435,1,0,0
93,0.906050729771858,1,0,0
94,0.914836332719286,1,0,0
95,0.912710783619102,1,0,0
96,0.859997165934533,1,0,0
